figure,series,x,y,unit
execution_time,PyTorch baseline,100000,10.500000,ms
execution_time,PyTorch baseline,1000000,137.400000,ms
peak_vram,PyTorch baseline,100000,505623347,bytes
peak_vram,PyTorch baseline,1000000,5057323991,bytes
execution_time,PyTorch baseline,5000000,,OOM
execution_time,PyTorch baseline,10000000,,OOM
execution_time,PyTorch baseline,50000000,,OOM
execution_time,Phase 3 (Triton + dW),100000,8.200000,ms
execution_time,Phase 3 (Triton + dW),1000000,76.800000,ms
peak_vram,Phase 3 (Triton + dW),100000,405169766,bytes
peak_vram,Phase 3 (Triton + dW),1000000,4058744094,bytes
execution_time,Phase 3 (Triton + dW),5000000,,OOM
execution_time,Phase 3 (Triton + dW),10000000,,OOM
execution_time,Phase 3 (Triton + dW),50000000,,OOM
execution_time,Phase 4 (in-kernel Philox),100000,9.800000,ms
execution_time,Phase 4 (in-kernel Philox),1000000,82.600000,ms
execution_time,Phase 4 (in-kernel Philox),5000000,408.700000,ms
peak_vram,Phase 4 (in-kernel Philox),100000,304401612,bytes
peak_vram,Phase 4 (in-kernel Philox),1000000,3049426780,bytes
peak_vram,Phase 4 (in-kernel Philox),5000000,15193446809,bytes
execution_time,Phase 4 (in-kernel Philox),10000000,,OOM
execution_time,Phase 4 (in-kernel Philox),50000000,,OOM
execution_time,Phase 5 (fused reduction),100000,4.000000,ms
execution_time,Phase 5 (fused reduction),1000000,17.200000,ms
execution_time,Phase 5 (fused reduction),5000000,87.100000,ms
execution_time,Phase 5 (fused reduction),10000000,171.900000,ms
execution_time,Phase 5 (fused reduction),50000000,864.600000,ms
peak_vram,Phase 5 (fused reduction),100000,3145728,bytes
peak_vram,Phase 5 (fused reduction),1000000,4508876,bytes
peak_vram,Phase 5 (fused reduction),5000000,4508876,bytes
peak_vram,Phase 5 (fused reduction),10000000,4508876,bytes
peak_vram,Phase 5 (fused reduction),50000000,4508876,bytes
exposure,ee_uncollateralized,0.000000,0.00000000,exposure
exposure,ee_uncollateralized,0.052083,2.02064174,exposure
exposure,ee_uncollateralized,0.104167,2.92496288,exposure
exposure,ee_uncollateralized,0.156250,3.62346773,exposure
exposure,ee_uncollateralized,0.208333,4.24521929,exposure
exposure,ee_uncollateralized,0.260417,4.77199980,exposure
exposure,ee_uncollateralized,0.312500,5.25313881,exposure
exposure,ee_uncollateralized,0.364583,5.74285031,exposure
exposure,ee_uncollateralized,0.416667,6.18886939,exposure
exposure,ee_uncollateralized,0.468750,6.66199166,exposure
exposure,ee_uncollateralized,0.520833,7.05373321,exposure
exposure,ee_uncollateralized,0.572917,7.43579682,exposure
exposure,ee_uncollateralized,0.625000,7.79046123,exposure
exposure,ee_uncollateralized,0.677083,8.16479309,exposure
exposure,ee_uncollateralized,0.729167,8.51762120,exposure
exposure,ee_uncollateralized,0.781250,8.86738640,exposure
exposure,ee_uncollateralized,0.833333,9.16338359,exposure
exposure,ee_uncollateralized,0.885417,9.52632326,exposure
exposure,ee_uncollateralized,0.937500,9.86417345,exposure
exposure,ee_uncollateralized,0.989583,10.21275510,exposure
exposure,ee_uncollateralized,1.041667,10.55914305,exposure
exposure,ee_uncollateralized,1.093750,10.90286475,exposure
exposure,ee_uncollateralized,1.145833,11.19657961,exposure
exposure,ee_uncollateralized,1.197917,11.53043176,exposure
exposure,ee_uncollateralized,1.250000,11.82970383,exposure
exposure,ee_uncollateralized,1.302083,12.10761318,exposure
exposure,ee_uncollateralized,1.354167,12.49936504,exposure
exposure,ee_uncollateralized,1.406250,12.75444536,exposure
exposure,ee_uncollateralized,1.458333,13.03464444,exposure
exposure,ee_uncollateralized,1.510417,13.33299534,exposure
exposure,ee_uncollateralized,1.562500,13.65656511,exposure
exposure,ee_uncollateralized,1.614583,13.91156016,exposure
exposure,ee_uncollateralized,1.666667,14.22768895,exposure
exposure,ee_uncollateralized,1.718750,14.57101639,exposure
exposure,ee_uncollateralized,1.770833,14.84984940,exposure
exposure,ee_uncollateralized,1.822917,15.17324197,exposure
exposure,ee_uncollateralized,1.875000,15.35572552,exposure
exposure,ee_uncollateralized,1.927083,15.61302467,exposure
exposure,ee_uncollateralized,1.979167,15.86723964,exposure
exposure,ee_uncollateralized,2.031250,16.21143574,exposure
exposure,ee_uncollateralized,2.083333,16.46132947,exposure
exposure,ee_uncollateralized,2.135417,16.71644728,exposure
exposure,ee_uncollateralized,2.187500,16.98021337,exposure
exposure,ee_uncollateralized,2.239583,17.24939060,exposure
exposure,ee_uncollateralized,2.291667,17.43517360,exposure
exposure,ee_uncollateralized,2.343750,17.72286124,exposure
exposure,ee_uncollateralized,2.395833,18.03087241,exposure
exposure,ee_uncollateralized,2.447917,18.32653131,exposure
exposure,ee_uncollateralized,2.500000,18.63463303,exposure
exposure,ee_uncollateralized,2.552083,18.99129704,exposure
exposure,ee_uncollateralized,2.604167,19.26684183,exposure
exposure,ee_uncollateralized,2.656250,19.60890952,exposure
exposure,ee_uncollateralized,2.708333,19.85331442,exposure
exposure,ee_uncollateralized,2.760417,20.10263437,exposure
exposure,ee_uncollateralized,2.812500,20.41940776,exposure
exposure,ee_uncollateralized,2.864583,20.70525187,exposure
exposure,ee_uncollateralized,2.916667,20.95122514,exposure
exposure,ee_uncollateralized,2.968750,21.22318414,exposure
exposure,ee_uncollateralized,3.020833,21.46597298,exposure
exposure,ee_uncollateralized,3.072917,21.70811758,exposure
exposure,ee_uncollateralized,3.125000,21.99434567,exposure
exposure,ee_uncollateralized,3.177083,22.32274969,exposure
exposure,ee_uncollateralized,3.229167,22.63920975,exposure
exposure,ee_uncollateralized,3.281250,22.87543529,exposure
exposure,ee_uncollateralized,3.333333,23.10817178,exposure
exposure,ee_uncollateralized,3.385417,23.42181111,exposure
exposure,ee_uncollateralized,3.437500,23.76133407,exposure
exposure,ee_uncollateralized,3.489583,24.00862183,exposure
exposure,ee_uncollateralized,3.541667,24.28037761,exposure
exposure,ee_uncollateralized,3.593750,24.59720128,exposure
exposure,ee_uncollateralized,3.645833,24.92060302,exposure
exposure,ee_uncollateralized,3.697917,25.19737706,exposure
exposure,ee_uncollateralized,3.750000,25.51504901,exposure
exposure,ee_uncollateralized,3.802083,25.84492491,exposure
exposure,ee_uncollateralized,3.854167,26.13257932,exposure
exposure,ee_uncollateralized,3.906250,26.33908591,exposure
exposure,ee_uncollateralized,3.958333,26.65225437,exposure
exposure,ee_uncollateralized,4.010417,26.97285869,exposure
exposure,ee_uncollateralized,4.062500,27.23190501,exposure
exposure,ee_uncollateralized,4.114583,27.50767729,exposure
exposure,ee_uncollateralized,4.166667,27.83219954,exposure
